mis_ORF1ab,mis_S,mis_ORF3a,mis_E,mis_M,mis_ORF6,mis_ORF7a,mis_ORF7b,mis_ORF8,mis_N,mis_ORF10,mis_OTHER,gap_ORF1ab,gap_S,gap_ORF3a,gap_E,gap_M,gap_ORF6,gap_ORF7a,gap_ORF7b,gap_ORF8,gap_N,gap_ORF10,gap_OTHER
13,8,1,0,0,0,0,0,4,7,1,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,2,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
17,7,1,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,7,1,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,0,0,0,0,0,0,3,7,0,1,9,9,0,0,0,0,0,0,0,0,0,1
11,9,0,0,0,0,0,0,3,9,1,0,9,9,0,0,0,0,0,0,0,0,0,1
14,9,0,0,2,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
17,8,0,0,0,0,0,0,3,6,0,0,9,9,0,0,0,0,0,0,0,3,0,1
15,7,0,1,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,8,2,0,1,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
11,8,4,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,8,0,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,8,0,1,0,0,0,0,5,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
17,7,0,0,0,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,8,0,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,7,0,0,1,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,8,0,0,1,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,8,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,8,0,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
11,7,0,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,8,1,0,0,0,0,0,4,9,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,9,0,0,0,0,0,1,2,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,8,0,1,0,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,7,0,0,0,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
11,7,1,0,0,0,0,0,3,7,1,0,9,9,0,0,0,0,0,0,0,0,0,1
13,9,0,0,0,0,1,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,7,0,0,1,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,1,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
11,10,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,4,1,0,0
17,9,1,0,1,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,8,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,11,1,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,4,3,1,0,0,1
14,7,0,0,1,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,1,0,0,0,4,9,1,0,9,9,0,0,0,0,0,0,0,0,0,1
12,8,1,0,1,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
11,8,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
17,7,2,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,7,2,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,7,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,0,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,4,1,0,0
16,7,0,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,9,0,0,0,0,0,0,4,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,0,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,4,1,0,0
14,8,0,0,0,0,0,0,3,7,0,1,9,9,0,0,0,0,0,0,0,0,0,1
19,7,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,1,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,8,0,0,0,0,0,0,4,7,0,1,9,9,0,0,0,0,0,0,0,0,0,1
15,8,2,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,7,0,0,0,0,2,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,7,1,0,0,0,0,0,3,8,0,0,12,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,1,0,0,0,4,9,1,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,31,0,3,4,0,1
11,10,2,0,0,0,0,1,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
11,9,0,0,0,0,0,0,3,8,1,0,9,9,0,0,0,0,0,0,0,0,0,1
11,9,0,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,7,0,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,0,1,0,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
10,7,0,0,1,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,7,0,1,1,0,0,0,6,7,0,0,24,9,0,0,0,0,0,0,4,1,0,0
12,8,0,0,0,0,0,0,3,7,1,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,1,0,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
17,7,2,0,1,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
19,8,0,0,1,0,0,0,4,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,8,2,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,7,0,1,0,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
11,7,0,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,2,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,7,0,0,0,0,0,0,5,8,0,0,9,9,0,0,0,0,0,0,4,1,0,0
14,7,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,0,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,7,1,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,8,0,0,1,0,0,0,4,8,1,0,9,9,0,0,0,0,0,0,0,0,0,1
11,7,0,0,0,0,1,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,7,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,8,0,0,0,0,0,0,3,7,0,0,9,6,0,0,0,0,0,0,0,0,0,1
15,6,0,0,0,0,0,0,3,7,0,0,178,100,20,0,0,20,0,0,20,21,0,21
12,10,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,7,0,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,0,0,0,0,3,7,0,0,9,33,6,0,0,6,0,0,6,7,0,7
13,9,1,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,8,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
17,8,0,0,1,0,0,0,3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,0,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,10,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
10,9,0,0,0,0,0,0,5,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,7,0,0,0,0,1,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,8,0,0,0,0,0,0,3,7,0,1,9,9,0,0,0,0,0,0,0,0,0,1
12,7,0,0,0,0,0,0,2,8,0,0,9,9,0,0,0,0,92,0,64,65,0,1
14,9,0,0,0,0,0,0,3,9,0,0,18,9,0,0,0,0,0,0,0,0,0,1
13,7,0,0,1,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,9,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,7,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,0,0,1,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
20,7,0,0,0,0,0,0,4,7,0,0,9,9,0,0,0,0,1,0,0,0,0,1
15,7,0,0,1,0,1,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,0,0,0,0,0,0,3,7,0,1,9,9,0,0,0,0,0,0,0,0,0,1
12,7,0,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,9,1,0,0,0,0,0,3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,1
17,7,0,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,8,0,0,0,0,0,1,5,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
11,10,2,0,0,0,0,1,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
18,7,1,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,7,0,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,7,0,0,0,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,9,1,0,0,0,0,0,4,7,0,1,9,9,0,0,0,0,0,0,4,1,0,0
13,8,0,1,0,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,8,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
10,7,1,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
18,8,0,0,0,0,0,0,5,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,7,1,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,10,1,1,0,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,1,0,0,1
14,8,0,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,7,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,8,0,0,1,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,7,0,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,8,0,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
17,7,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,8,0,0,1,0,1,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,8,2,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,8,1,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
17,7,1,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,7,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,8,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,7,1,0,1,0,0,0,4,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
11,7,2,0,1,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,0,0,0,0,0,0,3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,7,1,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,9,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
15,7,0,0,0,0,0,0,3,8,0,0,9,9,0,0,0,0,0,0,0,0,0,1
13,9,0,0,1,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
16,9,0,0,1,0,2,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
14,8,3,0,0,0,1,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
18,8,1,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
12,10,0,0,0,0,0,0,3,7,0,0,9,9,0,0,0,0,0,0,0,0,0,1
