mis_ORF1ab,mis_S,mis_ORF3a,mis_E,mis_M,mis_ORF6,mis_ORF7a,mis_ORF7b,mis_ORF8,mis_N,mis_ORF10,mis_OTHER,gap_ORF1ab,gap_S,gap_ORF3a,gap_E,gap_M,gap_ORF6,gap_ORF7a,gap_ORF7b,gap_ORF8,gap_N,gap_ORF10,gap_OTHER
12,6,1,0,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9,6,2,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
15,6,2,0,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
13,5,2,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
13,5,1,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10,7,1,0,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,9,1,0,1,0,2,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,5,3,0,1,0,2,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10,6,1,0,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
13,6,1,0,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
17,5,2,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,4,3,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
13,5,1,0,1,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
13,7,1,0,1,0,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0
15,6,1,0,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,5,2,0,1,0,0,0,0,3,0,3,1846,355,71,0,49,71,0,0,71,71,0,22
12,5,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,6,2,0,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,7,3,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
11,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,7,1,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,6,2,0,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
16,5,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11,7,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,6,2,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,6,1,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,8,1,0,1,0,0,0,1,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0
19,6,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
