mis_ORF1ab,mis_S,mis_ORF3a,mis_E,mis_M,mis_ORF6,mis_ORF7a,mis_ORF7b,mis_ORF8,mis_N,mis_ORF10,mis_OTHER,gap_ORF1ab,gap_S,gap_ORF3a,gap_E,gap_M,gap_ORF6,gap_ORF7a,gap_ORF7b,gap_ORF8,gap_N,gap_ORF10,gap_OTHER
12,8,4,1,0,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
9,8,4,1,0,0,0,0,2,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
13,8,3,1,0,0,0,0,2,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
7,10,4,1,1,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
14,8,3,1,0,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
13,8,3,1,0,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
15,9,2,1,0,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
14,7,3,1,0,0,0,0,1,1,0,1,9,9,0,0,0,0,0,0,0,0,0,0
12,8,2,1,1,0,0,0,2,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
15,9,2,1,0,0,0,1,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
9,9,2,1,0,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
9,8,3,1,0,0,0,0,2,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
6,8,4,1,0,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
11,10,2,1,1,0,0,0,1,2,0,0,9,9,0,0,0,0,0,0,0,0,0,0
8,8,2,1,0,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
9,7,2,1,0,0,0,1,1,2,0,0,9,9,0,0,0,0,0,0,0,0,0,0
8,9,4,2,0,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
6,9,4,1,0,0,2,0,1,2,0,0,9,9,0,0,0,0,0,0,0,0,0,0
7,9,3,1,0,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
6,7,2,1,0,0,0,0,2,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
8,8,3,1,0,0,0,0,2,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
9,9,2,1,1,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
10,9,2,1,0,0,0,0,2,1,0,0,9,9,0,0,0,0,0,0,0,0,35,27
7,10,4,1,1,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
12,9,3,1,0,0,0,0,1,2,0,0,9,9,0,0,0,0,0,0,0,0,0,0
9,9,4,2,0,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
10,7,2,1,0,0,0,0,1,4,0,0,9,9,0,0,0,0,0,0,0,0,0,0
11,8,2,1,0,0,0,0,2,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
9,9,2,1,2,0,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0
